Câu 1: Nhà triết học nào coi lửa là thực thể đầu tiên của thế giới và đó là lập trường triết học nào?
"B.	Chống quan niệm duy tâm tôn giáo"
"C.	Thúc đẩy sự phát triển tư tưởng khoa học về thế giới."
"D.	Gồm B và C."
Câu 12: Đỉnh cao nhất của tư tưởng duy vật cổ đại về vật chất là ở chỗ nào?
"A.	ở quan niệm về lửa là bản nguyên của thế giới"
"B.	ở thuyết nguyên tử của Lơ-xíp và Đê-mô-crít."
"C.	ở quan niệm về con số là bản nguyên của thế giới."
"D.	ở quan niệm về nước là bản nguyên của thế giới"
"Câu 13: Điền từ đúng nhất vào chỗ trống: Theo chủ nghĩa duy vật biện chứng, vận động là thuộc tính…. của vật chất."
"A.	riêng"
"B.	cố hữu"
"C.	đặc thù"
"D.	phổ biến"
"Câu 14: Quan điểm nào cho rằng, không gian, thời gian, vận động không liên quan với nhau và ở bên ngoài vật chất."
"A.	Chủ nghĩa duy vật siêu hình"
"B.	Chủ nghĩa duy vật biện chứng"
"C.	Chủ nghĩa duy tâm khách quan"
"D.	Chủ nghĩa duy vật chất phác"
"Câu 15: Chọn phương án đúng nhất: Theo chủ nghĩa duy vật biện chứng, nguồn gốc của ý thức là..."
"A.	nguồn gốc tự nhiên và nguồn gốc nhận thức"
"B.	nguồn gốc tự nhiên và nguồn gốc xã hội"
"C.	nguồn gốc xã hội và nguồn gốc kinh tế"
"D.	nguồn gốc kinh tế và nguồn gốc văn hóa"
"Câu 16: Quan điểm nào cho rằng, “Óc tiết ra ý thức như gan tiết ra mật”?"
"A.	Chủ nghĩa duy vật tầm thường"
"B.	Chủ nghĩa duy vật biện chứng"
"C.	Chủ nghĩa duy tâm khách quan "
"D.	Chủ nghĩa duy tâm chủ quan"
"Câu 17: Theo chủ nghĩa duy vật biện chứng, phản ánh là thuộc tính:"
"A.	Riêng có ở con người"
"B.	Chỉ có ở các cơ thể sống"
"C.	Riêng có ở vật chất vô cơ"
"D.	Phổ biến ở mọi tổ chức vật chất"
"Câu 18: Theo chủ nghĩa duy vật biện chứng: Các yếu tố cơ bản, trực tiếp tạo thành nguồn gốc xã hội của ý thức là:"
"A.	Lao động và ngôn ngữ"
"B.	Kinh tế và văn hóa"
"C.	Lao động trí óc và lao động chân tay"
"D.	Tri thức và ý chí"
"Câu 19: Quan điểm nào cho rằng, ý thức là bản thể đầu tiên, tồn tại vĩnh viễn, là nguyên nhân sinh thành, chi phối sự tồn tại, biến đổi của toàn bộ thế giới vật chất..."
"A.	chủ nghĩa duy vật siêu hình"
"B.	chủ nghĩa duy vật biện chứng"
"C.	chủ nghĩa duy tâm"
"D.	chủ nghĩa hoài nghi"
"Câu 20: Quan điểm nào cho rằng, ý thức cũng chỉ là một dạng vật chất đặc biệt, do vật chất sản sinh ra."
"A.	Chủ nghĩa duy vật siêu hình"
"B.	Chủ nghĩa duy vật biện chứng"
"C.	Chủ nghĩa duy tâm khách quan"
"D.	Chủ nghĩa duy tâm chủ quan"
"Câu 21: Quan điểm của trường phái triết học nào coi khối lượng chỉ là thuộc tính của vật chất, gắn liền với vật chất?"
"A.	Chủ nghĩa duy tâm."
"B.	Chủ nghĩa duy vật siêu hình."
"C.	Chủ nghĩa duy vật biện chứng."
"D.	Chủ nghĩa duy vật chất phác "
Câu 22: Hiện tượng phóng xạ mà khoa học tự nhiên phát hiện ra chứng minh điều gì?
"A.	Vật chất nói chung là bất biến."
"B.	Nguyên tử là bất biến."
"C.	Nguyên tử là không bất biến."
"D.	Nguyên tử là điện tử"
Câu 23: Phát minh ra hiện tượng phóng xạ và điện tử bác bỏ quan niệm triết học nào về vật chất?
"A.	Quan niệm duy vật siêu hình về vật chất."
"B.	Quan niệm duy tâm về vật chất cho nguyên tử không tồn tại."
"C.	Quan niệm duy vật biện chứng về vật chất."
"D.	Cả B và C"
Câu 24: Chủ nghĩa duy tâm đã lợi dụng những phát minh của khoa học tự nhiên về hiện tượng phóng xạ và điện tử để chứng minh cái gì?
"A.	Chứng minh nguyên tử không phải là bất biến."
"B.	Chứng minh nguyên tử biến đổi đồng nhất với vật chất mất đi."
"C.	Chứng minh nguyên tử biến đổi nhưng vật chất nói chung không mất đi."
"D.	Vật chất tồn tại khách quan"
Câu 25: Quan niệm coi điện tử là phi vật chất thuộc lập trường triết học nào?
"A.	Chủ nghĩa duy vật siêu hình."
"B.	Chủ nghĩa duy tâm."
"C.	Chủ nghĩa duy vật biện chứng"
"D.	Chủ nghĩa duy vật chất phác"
"Câu 26: Theo chủ nghĩa duy vật biện chứng, yếu tố nào đóng vai trò là nguồn gốc cơ bản, trực tiếp và quan trọng nhất quyết định sự ra đời và phát triển của ý thức?"
"A.	Mối quan hệ giữa con người với thế giới khách quan"
"B.	Bộ não người"
"C.	Lao động"
"D.	Ngôn ngữ "
"Câu 27: Quan điểm nào cho rằng, ý thức là hình ảnh chủ quan của thế giới khách quan?"
"A.	Chủ nghĩa duy vật siêu hình"
"B.	Chủ nghĩa duy vật biện chứng"
"C.	Chủ nghĩa duy tâm khách quan"
"D.	Chủ nghĩa duy vật chất phác"
"Câu 28: Theo chủ nghĩa duy vật biện chứng, sự tác động trở lại của ý thức đối với vật chất được thực hiện thông qua:"
"A.	Suy nghĩ của con người"
"B.	Hoạt động nhận thức của con người"
"C.	Hoạt động thực tiễn của con người"
"D.	Hoạt động tinh thần"
"Câu 29: Nguyên tắc xuất phát từ thực tế khách quan, tôn trọng khách quan, đồng thời phát huy tính năng động chủ quan đòi hỏi trong nhận thức và thực tiễn cần tránh sai lầm:"
"A.	Ngụy biện và chiết trung"
"B.	Trì trệ, thụ động và chủ quan duy ý chí"
"C.	Phiến diện và siêu hình"
"D.	Kinh nghiệm"
Câu 30: Theo V.I.Lênin những phát minh của khoa học tự nhiên cuối thế kỷ XIX đầu thế kỷ XX đã làm tiêu tan cái gì?
"A.	Tiêu tan vật chất nói chung."
"B.	Tiêu tan dạng tồn tại cụ thể của vật chất."
"C.	Tiêu tan giới hạn hiểu biết trước đây về vật chất, quan điểm siêu hình về vật chất."
"D.	Ý thức tiêu tan"
"Câu 31: Quan điểm cho rằng: nhận thức mới về nguyên tử - phát hiện ra điện tử - làm cho nguyên tử không tồn tại, thuộc lập trường triết học nào?"
"A.	Chủ nghĩa duy vật siêu hình."
"B.	Chủ nghĩa duy tâm chủ quan."
"C.	Chủ nghĩa duy vật biện chứng."
"D.	Chủ nghĩa duy tâm khách quan."
"Câu 32: Quan điểm triết học nào cho rằng, nhận thức mới về nguyên tử chỉ bác bỏ quan niệm cũ về vật chất, không bác bỏ sự tồn tại vật chất nói chung?"
"A.	Chủ nghĩa duy vật trước Mác."
"B.	Chủ nghĩa duy tâm."
"C.	Chủ nghĩa duy vật biện chứng."
"D.	Chủ nghĩa duy vật chất phác"
Câu 33: Định nghĩa về vật chất của Lênin được nêu trong tác phẩm nào?
"A.	Biện chứng của tự nhiên"
"B.	Chủ nghĩa duy vật và chủ nghĩa kinh nghiệm phê phán."
"C.	Bút ký triết học"
"D.	Nhà nước và cách mạng."
Câu 34: Đâu là quan niệm về vật chất của triết học Mác - Lênin?
"A.	Đồng nhất vật chất nói chung với một dạng cụ thẻ của vật chất."
"B.	Không đồng nhất vật chất nói chung với dạng cụ thể của vật chất."
"C.	Coi có vật chất chung tồn tại tách rời các dạng cụ thể của vật chất."
"D.	Vật chất là nguyên tử"
"Câu 35: Chọn phương án đúng nhất: Thêm cụm từ thích hợp vào câu sau để được định nghĩa về vật chất của Lênin: Vật chất là ......(1) dùng để chỉ	(2).. được đem lại cho con người trong cảm giác, được cảm giác của chúng ta chép lại, chụp lại, phản ảnh và tồn tại không lệ thuộc vào cảm giác."
"A.	1- Vật thể, 2- hoạt động"
"B.	1- Phạm trù triết học, 2- Thực tại khách quan."
"C.	1- Phạm trù triết học, 2- Một vật thể"
"D.	1- Phạm trù triết học, 2- Nguyên tử"
Câu 36: Chọn phương án đúng nhất: Tuyệt đối hóa vai trò của vật chất sẽ mắc phải sai lầm...
"A.	Giáo điều"
"B.	Ngụy biện"
"C.	Phiến diện"
"D.	Bảo thủ, trì trệ, thụ động"
Câu 37: Chọn phương án đúng nhất: Tuyệt đối hóa vai trò của ý thức sẽ mắc phải sai lầm...
"A.	Chủ quan duy ý chí"
"B.	Ngụy biện"
"C.	Bảo thủ, trì trệ, thụ động"
"D.	Phiến diện"
"Câu 38: Tục ngữ Việt Nam đã khẳng định: “Có thực mới vực được đạo”, quan điểm trên thuộc lập trường triết học nào?"
"A.	Chủ nghĩa duy vật"
"B.	Chủ nghĩa duy tâm"
"C.	Nhị  nguyên"
"D.	Khả tri luận"
"Câu 39: Theo V.I. Lênin, ngoài thuộc tính tồn tại khách quan thì vật chất dưới những dạng tồn tại cụ thể của nó là cái có thể..."
"A.	Tồn tại trong cảm giác của con người"
"B.	Gây nên cảm giác ở con người"
"C.	Tồn tại độc lập với cảm giác của con người"
"D.	Tồn tại trong ý thức của con người"
Câu 40: Quan điểm sau đây thuộc trường phái triết học nào: cái gì cảm giác được là vật chất.
"A.	Chủ nghĩa duy vật siêu hình."
"B.	Chủ nghĩa duy vật biện chứng."
"C.	Chủ nghĩa duy tâm khách quan"
"D.	Chủ nghĩa duy tâm chủ quan."
"Câu 41: Theo chủ nghĩa duy vật biện chứng, một trong những biểu hiện tính năng động, sáng tạo của phản ánh ý thức là…"
"A.	Hình ảnh vật lý"
"B.	Là một hiện tượng xã hội"
"C.	Tạo ra những ý tưởng, giả thuyết, huyền thoại"
"D.	Sinh ra được vật chất"
"Câu 42: Theo chủ nghĩa duy vật biện chứng, bản chất của ý thức là... "
"A.	Sản phẩm của mọi dạng vật chất"
"B.	Một dạng vật chất đặc biệt"
"C.	Sự phản ánh của các lực lượng siêu tự nhiên"
"D.	Sự phán ánh năng động, sáng tạo thế giới khách quan vào bộ óc con người"
Câu 43: Hạn chế của chủ nghĩa duy vật chất phác là:
"A.	Xem xét thế giới trong trạng thái biệt lập và tĩnh tại"
"B.	Xem xét thế giới trong mối liên hệ phổ biến và phát triển"
"C.	Không dựa trên cơ sở khoa học"
"D.	Dựa trên thành tựu của khoa học"
Câu 44: Hạn chế của chủ nghĩa duy vật siêu hình là:
"A.	Xem xét thế giới trong trạng thái biệt lập và tĩnh tại"
"B.	Xem xét thế giới trong mối liên hệ phổ biến và phát triển"
"C.	Dựa trên cơ sở khoa học thực nghiệm"
"D.	Nguồn gốc của sự phát triển là ở bên trong sự vật"
"Câu 45: Chọn phương án đúng nhất: Theo C.Mác, ý thức “chẳng qua chỉ là... được đem chuyển vào trong đầu óc con người và được cải biến đi trong đó.”"
"A.	Vật chất"
"B.	Bộ não người"
"C.	Hình ảnh"
"D.	Vật thể"
Câu 46: Theo chủ nghĩa duy vật biện chứng: Hình thức phản ánh nào sau đây là cao nhất?
"A.	Phản ánh vật lý, hóa học"
"B.	Phản ánh sinh học"
"C.	Phản ánh tâm lý"
"D.	Phản ánh năng động, sáng tạo"
"Câu 47: Theo chủ nghĩa duy vật biện chứng, vận động và đứng im có mối quan hệ như thế nào?"
"A.	Vận động không bao hàm đứng im"
"B.	Vận động và đứng im là đồng nhất"
"C.	Đứng im bao hàm vận động "
"D.	Đứng im là trạng thái đặc biệt của vận động"
"Câu 48: Theo chủ nghĩa duy vật biện chứng, phương thức tồn tại của vật chất là..."
"A.	Vận động"
"B.	Thời gian"
"C.	Không gian"
"D.	Không gian và thời gian"
Câu 49: Trường phái triết học nào cho không thể có vật chất không vận động và không thể có vận động ngoài vật chất.
"A.	Chủ nghĩa duy vật tự phát thời kỳ cổ đại."
"B.	Chủ nghĩa duy vật siêu hình."
"C.	Chủ nghĩa duy vật biện chứng."
"D.	Chủ nghĩa duy tâm."
Câu 50: Đâu là quan niệm của chủ nghĩa duy vật biện chứng về vận động.
"A.	Có vật chất không vận động."
"B.	Có vận động thuần tuý ngoài vật chất."
"C.	Không có vận động thuần tuý ngoài vật chất."
"D.	Vận động phụ thuộc vào cảm giác của con người"
Câu 51: Đâu là quan điểm của chủ nghĩa duy vật biện chứng về vận động?
"A.	Vận động là sự tự thân vận động của vật chất, không được sáng tạo ra và không mất đi."
"B.	Vận động là sự đẩy và hút của vật thể."
"C.	Vận động được sáng tạo ra và có thể mất đi."
"D.	Vận động phụ thuộc vào cảm giác của con người"
"Câu 52: Theo chủ nghĩa duy vật biện chứng, sự tồn tại của sự vật thể hiện ở quá trình biến đổi nhanh hay chậm, kế tiếp và chuyển hóa... Hình thức tồn tại ấy gọi là:"
"A.	Vận động"
"B.	Không gian"
"C.	Đứng im"
"D.	Thời gian "
"Câu 53: Theo chủ nghĩa duy vật biện chứng, mọi dạng cụ thể của vật chất đều tồn tại ở một vị trí nhất định, có quảng tính và tồn tại trong các mối tương quan nhất định với những dạng vật chất khác. Hình thức tồn tại đó gọi là:"
"A.	Vận động"
"B.	Không gian"
"C.	Đứng im"
"D.	Thời gian"
"Câu 54: Theo chủ nghĩa duy vật biện chứng, thế giới thống nhất ở:"
"A.	Tính chủ quan"
"B.	Sự tồn tại"
"C.	Tính vật chất"
"D.	Tính phổ biến"
"Câu 55: Phản ánh năng động, sáng tạo là phản ánh đặc trưng cho..."
"A.	Thực vật và động vật bậc thấp"
"B.	Động vật chưa có hệ thần kinh trung ương"
"C.	Động vật đã có hệ thần kinh trung ương"
"D.	Con người"
"Câu 56: Theo chủ nghĩa duy vật biện chứng, nguyên tắc xuất phát từ thực tế khách quan, tôn trọng khách quan bắt nguồn từ:"
"A.	Vai trò quyết định của vật chất đối với ý thức"
"B.	Vai trò quyết định của ý thức đối với vật chất"
"C.	Vai trò quyết định của thực tiễn đối với nhận thức"
"D.	Vai trò quyết định của nhận thức đối với thực tiễn"
"Câu 57: Theo chủ nghĩa duy vật biện chứng, yêu cầu phát huy tính năng động chủ quan trong hoạt động nhận thức và thực tiễn bắt nguồn từ:"
"A.	Vai trò quyết định của vật chất đối với ý thức"
"B.	Vai trò tác động trở lại của ý thức đối với vật chất"
"C.	Vai trò quyết định của thực tiễn đối với nhận thức"
"D.	Vai trò của nhận thức đối với thực tiễn"
"Câu 58: Theo chủ nghĩa duy vật biện chứng, yếu tố nào đóng vai trò là nguồn gốc cơ bản, trực tiếp và quan trọng nhất quyết định sự ra đời và phát triển của ý thức?"
"A.	Mối quan hệ giữa con người với thế giới khách quan"
"B.	Bộ não người"
"C.	Lao động"
"D.	Ngôn ngữ"
"Câu 59: Theo chủ nghĩa duy vật biện chứng, hệ thống tín hiệu vật chất chứa đựng thông tin mang nội dung ý thức là:"
"A.	Bộ não người"
"B.	Lao động"
"C.	Ngôn ngữ"
"D.	Phản ánh"
Câu 60: Trường phái triết học nào coi ý thức là hình ảnh chủ quan của thế giới khách quan?
"A.	Chủ nghĩa duy vật biện chứng"
"B.	Chủ nghĩa duy tâm chủ quan"
"C.	Chủ nghĩa duy tâm khách quan"
"D.	Chủ nghĩa duy vật siêu hình"
Câu 61: Trình độ phản ánh đặc trưng cho các loài thực vật là gì?
"A.	Sự kích thích"
"B.	Sự phản xạ"
"C.	Tâm lý"
"D.	Tất cả các đáp án trên đều đúng"
Câu 62: Trình độ phản ánh đặc trưng cho các loài động vật đã có hệ thần kinh là gì?
"A.	Sự kích thích"
"B.	Sự phản xạ"
"C.	Tâm lý"
"D.	Ý thức "
"Câu 63: Theo chủ nghĩa duy vật biện chứng, trình độ phản ánh đặc trưng ở động vật có hệ thần kinh trung ương phát triển là gì?"
"A.	Sự kích thích"
"B.	Sự phản xạ"
"C.	Tâm lý"
"D.	Ý thức"
"Câu 64: Điền vào chỗ trống.............là trình độ phản ánh cao nhất của các loài động vật, bao gồm cả phản xạ không có điều kiện và có điều kiện."
"A.	Sự kích thích"
"B.	Sự phản xạ"
"C.	Tâm lý động vật"
"D.	Ý thức"
Câu 65: Nhận định nào sau đây là SAI?
"A.	Vật chất không chỉ có một dạng tồn tại là vật thể"
"B.	Vật thể không phải là vật chất"
"C.	Vật thể là dạng tồn tại cụ thể của vật chất"
"D.	Vật chất tồn tại thông qua những dạng cụ thể của nó"
Câu 66: Chọn phương án SAI: Bệnh chủ quan duy ý chí có các biểu hiện sau:
"A.	Luôn tôn trọng quy luật khách quan"
"B.	Suy nghĩ và hành động nóng vội"
"C.	Chạy theo nguyện vọng chủ quan"
"D.	Không tính tới điều kiện và khả năng thực tế"
"Câu 67: Theo chủ nghĩa duy vật biện chứng, ý thức là một …. mang bản chất xã hội."
"A.	Hiện tượng vật chất"
"B.	Hiện tượng tinh thần"
"C.	Hiện tượng tự nhiên"
"D.	Hiện tượng xã hội"
"Câu 68: Chọn phương án đúng nhất: Theo chủ nghĩa duy vật biện chứng, đứng im là:"
"A.	Tuyệt đối "
"B.	Tương đối"
"C.	Vừa tuyệt đối, vừa tương đối"
"D.	Ý muốn của con người"
"Câu 69: Theo chủ nghĩa duy vật biện chứng, ngôn ngữ là:"
"A.	Cái vỏ vật chất của tư duy"
"B.	Nội dung của ý thức"
"C.	Cơ quan vật chất sản sinh ra ý thức"
"D.	Do Thượng Đế ban cho con người"
Câu 70: Chọn phương án đúng nhất: Tuyệt đối hóa vai trò của vật chất sẽ mắc phải sai lầm...
"A.	Giáo điều"
"B.	Chiết trung"
"C.	Phiến diện"
"D.	Bảo thủ, trì trệ, thụ động"
Câu 71: Chọn phương án đúng nhất: Tuyệt đối hóa vai trò của ý thức sẽ mắc phải sai lầm...
"A.	Chủ quan duy ý chí"
"B.	Ngụy biện"
"C.	Bảo thủ, trì trệ, thụ động"
"D.	Phiến diện"
"Câu 72: Chọn phương án đúng nhất: Từ quan điểm của chủ nghĩa duy vật biện chứng về mối quan hệ giữa vật chất và ý thức, trong mọi hoạt động nhận thức và thực tiễn cần phải:"
"A.	Phát huy tính năng động chủ quan"
"B.	Có quan điểm toàn diện"
"C.	Có quan điểm lịch sử - cụ thể"
"D.	Xuất phát từ thực tế khách quan, đồng thời phát huy tính năng động chủ quan"
Câu 73: Chủ nghĩa duy vật chất phác có ưu điểm:
"A.	Lấy bản thân giới tự nhiên để giải thích sự hình thành của giới tự nhiên"
"B.	Quy vật chất về một số dạng tồn tại cụ thể"
"C.	Quan điểm về giới tự nhiên dựa trên sự trực quan hoặc phỏng đoán "
"D.	Lấy ý thức quyết định vật chất"
"Câu 74: Theo chủ nghĩa duy vật biện chứng, yếu tố tiên quyết về mặt xã hội cho sự hình thành ý thức là:"
"A.	Lao động"
"B.	Quan hệ xã hội"
"C.	Ngôn ngữ"
"D.	Tất cả các đáp án đều đúng"
"Câu 75: Theo chủ nghĩa duy vật biện chứng, những yếu tố nào sau đây là điều kiện cần cho sự hình thành ý thức?"
"A.	Bộ óc người và sự tác động của thế giới khách quan lên bộ óc người"
"B.	Lao động và ngôn ngữ"
"C.	Quan hệ xã hội"
"D.	Tất cả các đáp án đều đúng"
"Câu 76: Theo phép biện chứng duy vật, mối liên hệ phổ biến:"
"A.	Chỉ có trong lĩnh vực tự nhiên"
"B.	Chỉ có trong lĩnh vực xã hội"
"C.	Chỉ có trong lĩnh vực tư duy"
"D.	Có trong tự nhiên, trong xã hội và cả trong tư duy"
"Câu 77: Theo phép biện chứng duy vật, khi vận dụng nguyên tắc phát triển cần phải khắc phục quan điểm:"
"A.	Phiến diện"
"B.	Chiết trung"
"C.	Ngụy biện"
"D.	Bảo thủ, trì trệ"
Câu 78: Chọn phương án đúng nhất: Theo phép biện chứng duy vật:
"A.	Phủ định biện chứng là sự phủ định cần có sự can thiệp của con người"
"B.	Phủ định biện chứng là sự tự phủ định, phủ định tạo tiền đề cho cái mới ra đời, cho sự phát triển tiếp theo của sự vật, hiện tượng"
"C.	Phủ định biện chứng mang tính khách quan vì đó là sự phủ định của bản thân sự vật và phương thức phủ định phụ thuộc vào ý muốn của con người"
"D.	Phủ định biện chứng chỉ diễn ra trong xã hội, còn trong tự nhiên và trong tư duy của con người không có phủ định"
Câu 79: Theo V.I. Lênin: Sự phát triển là một cuộc “...” giữa các mặt đối lập.
"A.	Thống nhất"
"B.	Đấu tranh"
"C.	Thủ tiêu"
"D.	Điều hòa"
"Câu 80: Phạm trù nào dùng để chỉ một sự vật, một hiện tượng nhất định?"
"A.	Cái đơn nhất"
"B.	Cái đặc thù"
"C.	Cái riêng"
"D.	Cái chung"
"Câu 81: Theo phép biện chứng duy vật, chất của một sự vật, hiện tượng được tạo thành từ...?"
"A.	Chỉ một thuộc tính"
"B.	Các thuộc tính không cơ bản"
"C.	Thuộc tính cơ bản và không cơ bản"
"D.	Chỉ thuộc tính cơ bản"
Câu 82: Chọn phương án đúng nhất: Sự đối lập giữa chủ nghĩa duy vật và chủ nghĩa duy tâm thể hiện rõ nhất khi:
"A.	Giải quyết mặt thứ nhất vấn đề cơ bản của triết học"
"B.	Giải quyết mặt thứ hai vấn đề cơ bản của triết học"
"C.	Giải quyết cả hai mặt vấn đề cơ bản của triết học"
"D.	Cả A, B, C đều sai"
"Câu 83: Theo phép biện chứng duy vật, mỗi sự vật, hiện tượng:"
"A.	Chỉ có một loại lượng và một loại chất"
"B.	Có nhiều loại lượng và một loại chất"
"C.	Có một loại lượng và nhiều loại chất"
"D.	Có nhiều loại lượng và nhiều loại chất"
Câu 84: Quy luật nào được V.I. Lênin gọi là hạt nhân của phép biện chứng duy vật? 
"A.	Quy luật chuyển hóa từ những sự thay đổi về lượng thành những thay đổi về chất và ngược lại"
"B.	Quy luật thống nhất và đấu tranh giữa các mặt đối lập"
"C.	Quy luật phủ định của phủ định"
"D.	Quy luật đấu tranh giai cấp"
Câu 85: Nguyên tắc phát triển giúp chúng ta khắc phục được tư tưởng...
"A.	Nôn nóng, tả khuynh"
"B.	Chiết trung, ngụy biện"
"C.	Phiến diện, siêu hình"
"D.	Bảo thủ, trì trệ, định kiến"
"Câu 86: Theo phép biện chứng duy vật: “Kết quả dùng để chỉ những... xuất hiện do sự tác động giữa các mặt, các yếu tố trong một sự vật, hiện tượng hoặc giữa các sự vật, hiện tượng”."
"A.	Biến động"
"B.	Biến đổi"
"C.	Biến thiên"
"D.	Biến cố"
"Câu 87: Trong hoạt động nhận thức và thực tiễn, nếu đánh tráo các mối liên hệ cơ bản thành không cơ bản hoặc ngược lại thì sẽ mắc phải sai lầm nào?"
"A.	Phiến diện"
"B.	Ngụy biện"
"C.	Chiết trung"
"D.	Chủ quan duy ý chí"
"Câu 88: Trong hoạt động nhận thức và thực tiễn, nếu lắp ghép vô nguyên tắc các mối liên hệ trái ngược nhau vào một mối liên hệ phổ biến thì sẽ mắc phải sai lầm nào?"
"A.	Phiến diện"
"B.	Ngụy biện"
"C.	Chiết trung"
Câu 89: Theo phép biện chứng duy vật: Một nguyên nhân trong những điều kiện nhất định có thể: 
"A.	Luôn sinh ra một kết quả"
"B.	Luôn sinh ra nhiều kết quả"
"C.	Sinh ra một hoặc nhiều kết quả"
"D.	Cả A, B, C đều đúng"
"Câu 90: Theo phép biện chứng duy vật, sự chuyển hóa giữa nguyên nhân và kết quả có nghĩa..."
"A.	Có nguyên nhân đầu tiên và có kết quả cuối cùng"
"B.	Có nguyên nhân đầu tiên nhưng không có kết quả cuối cùng"
"C.	Không có nguyên nhân đầu tiên nhưng có kết quả cuối cùng"
"D.	Không có nguyên nhân đầu tiên và không có kết quả cuối cùng"
"Câu 91: Quy luật nào của phép biện chứng duy vật làm rõ phương thức/cách thức chung của mọi sự vận động, phát triển trong tự nhiên, xã hội và tư duy?"
"A.	Quy luật thống nhất và đấu tranh giữa các mặt đối lập"
"B.	Quy luật chuyển hóa từ những sự thay đổi về lượng thành những thay đổi về chất và ngược lại"
"C.	Quy luật phủ định của phủ định"
"D.	Quy luật chọn lọc tự nhiên"
"Câu 92: Điền vào chỗ trống …. là phạm trù dùng để chỉ sự biểu hiện ra bên ngoài của những mặt, những mối liên hệ của sự vật, hiện tượng trong những điều kiện xác định."
"A.	Bản chất"
"B.	Ngẫu nhiên"
"C.	Tất nhiên"
"D.	Hiện tượng"
"Câu 93: Điền vào chỗ trống: ……….. là phạm trù dùng để chỉ cái chưa xuất hiện, chưa tồn tại trong thực tế nhưng sẽ xuất hiện và tồn tại thực sự khi có các điều kiện tương ứng."
"A.	Tất nhiên"
"B.	Hiện thực"
"C.	Ngẫu nhiên"
"D.	Khả năng"
Câu 94: Điền vào chỗ trống …… là phạm trù dùng để chỉ những cái đang tồn tại trong thực tế.
"A.	Tất nhiên"
"B.	Hiện thực"
"C.	Thực tại"
